Height,Old 1940,Old 1960,Old 1990,Old 2000,Old 2010,Old Endemic,Young 1990,Young 2000,Young 2010,Young Endemic
0,0.126459139,0.080638656,0.068345691,0.07039719,0.039732669,0.197422982,0.056400274,0.073261753,0.042444557,0.126565364
0.25,0.143141297,0.099804304,0.078679569,0.078006066,0.041773646,0.214880831,0.062855019,0.080950026,0.04723272,0.137151385
0.5,0.155205191,0.11836614,0.087505959,0.084844623,0.043424452,0.230262617,0.066227045,0.086077657,0.051214659,0.144942071
0.75,0.164905642,0.136531794,0.095632305,0.088556452,0.044775111,0.24260745,0.067650298,0.088731046,0.052961331,0.149451269
1,0.171973376,0.150774406,0.099283558,0.090457205,0.044775111,0.252107125,0.067740804,0.090156511,0.053880798,0.153068389
1.25,0.174337315,0.161049062,0.102437942,0.091915716,0.04590066,0.256671392,0.067094665,0.091640419,0.054440018,0.155089368
1.5,0.174951063,0.169271357,0.104623664,0.09404833,0.046853048,0.262455219,0.066366519,0.093099645,0.053907938,0.156008339
1.75,0.174726856,0.175282339,0.10541888,0.095428989,0.050858188,0.262843584,0.065634541,0.094322784,0.052491903,0.156667565
2,0.173418257,0.175787668,0.105112183,0.096483235,0.054226851,0.260080329,0.064881103,0.095041943,0.051280031,0.156968489
2.25,0.171586837,0.173403669,0.104797598,0.097200262,0.05652995,0.256742171,0.064082713,0.095758901,0.049463341,0.157220483
2.5,0.169463365,0.170634087,0.103963471,0.096635121,0.05793037,0.250285261,0.063078455,0.096213182,0.04772222,0.157123154
2.75,0.166826701,0.167883768,0.102715867,0.095859714,0.058337053,0.243799069,0.062027189,0.096580207,0.046011291,0.156779319
3,0.164988809,0.164068393,0.100641139,0.094838676,0.058285714,0.236700755,0.060816828,0.09682772,0.044886001,0.155557059
3.25,0.163170141,0.159177516,0.09837203,0.093569278,0.058227597,0.228570748,0.059386874,0.095911004,0.043836361,0.153973232
3.5,0.161314594,0.154156093,0.095883887,0.092271727,0.05809556,0.219265049,0.057502009,0.094723715,0.042869356,0.15224447
3.75,0.1592842,0.149642883,0.093490798,0.091123483,0.057963524,0.212471164,0.055605109,0.093435307,0.041741757,0.150096114
4,0.157065778,0.145423726,0.091591277,0.089723723,0.05823756,0.207624649,0.052969222,0.092191822,0.040698892,0.14820596
4.25,0.154738085,0.14319514,0.089692698,0.088393546,0.058302823,0.202613592,0.049852249,0.090948337,0.03973176,0.146315943
4.5,0.152271654,0.140651707,0.088085365,0.087428111,0.058376026,0.199723146,0.047751136,0.089486302,0.038759764,0.1445859
4.75,0.150107685,0.137718313,0.086306825,0.086640371,0.05844923,0.196719393,0.045650023,0.087980203,0.037772888,0.142977594
5,0.147576364,0.135940365,0.08532328,0.086010985,0.058441892,0.194449125,0.043708006,0.085724386,0.036766137,0.141739869
5.25,0.14444364,0.134763317,0.084532676,0.085436275,0.058510247,0.193190917,0.041985581,0.083970011,0.035618164,0.140825252
5.5,0.141593051,0.133167733,0.084042198,0.084638926,0.058307008,0.191994307,0.040712082,0.082483562,0.034605391,0.139777757
5.75,0.138940343,0.131711102,0.08355364,0.083751302,0.058122711,0.191511234,0.038872382,0.081098233,0.033671733,0.139148408
6,0.136521191,0.130153475,0.083014591,0.083073789,0.057931992,0.190323558,0.037251086,0.079724381,0.032861719,0.138353186
6.25,0.133881629,0.128169402,0.082453369,0.082396276,0.057836543,0.188973945,0.036152266,0.078350529,0.032051705,0.137537321
6.5,0.131759251,0.126389896,0.081716695,0.081654711,0.057741095,0.18808306,0.035053446,0.076958856,0.031023098,0.136801783
6.75,0.129654053,0.124598168,0.080980021,0.080709814,0.057703122,0.187198742,0.033954626,0.075436808,0.030515228,0.136056362
7,0.127595685,0.122831396,0.079806997,0.079737651,0.057450531,0.186046801,0.032855807,0.074054913,0.030007358,0.134959098
7.25,0.125721635,0.121059571,0.078260721,0.078652739,0.056462756,0.184887556,0.030801722,0.072721461,0.02964071,0.133726097
7.5,0.123256846,0.118691496,0.076699937,0.077570964,0.055789847,0.183468718,0.028747638,0.071365629,0.029274062,0.132652779
7.75,0.120793398,0.117202825,0.07513472,0.076094723,0.055108997,0.182144159,0.027271788,0.070009797,0.028247786,0.131569739
8,0.118522248,0.115975386,0.073542619,0.074738265,0.054428147,0.181662112,0.026308863,0.068664931,0.026910976,0.13063025
8.25,0.116569981,0.114644578,0.07197269,0.073379336,0.053639908,0.18278603,0.025345939,0.067320065,0.025574166,0.129433384
8.5,0.113348673,0.113309285,0.070383637,0.071715739,0.052494419,0.183909948,0.024383014,0.06609506,0.024460814,0.128340986
8.75,0.109736312,0.11198203,0.068791766,0.070288045,0.051431919,0.185089566,0.02342009,0.065126738,0.023347461,0.127253757
9,0.10610507,0.110786567,0.066497541,0.068522602,0.050425087,0.186274453,0.022457165,0.064767608,0.022234109,0.126206081
9.25,0.102970326,0.109594129,0.064578078,0.066570481,0.049278095,0.187512057,0.022449506,0.064408478,0.021120757,0.125300132
9.5,0.100390194,0.108876413,0.062905258,0.064856157,0.048131102,0.188467715,0.022441846,0.064065724,0.020007404,0.123906017
9.75,0.09724438,0.107190673,0.061234952,0.063627876,0.046498958,0.188826267,0.022434186,0.06372297,0.019692759,0.12251888
10,0.093621579,0.10535005,0.059575952,0.062043547,0.044760721,0.188976376,0.022428869,0.063369723,0.019192908,0.120929616
10.25,0.089279823,0.103910357,0.057910783,0.060446841,0.042827968,0.18786624,0.022423551,0.063016477,0.018693057,0.119609346
10.5,0.085780598,0.102334889,0.056092192,0.058933581,0.041210461,0.186516847,0.022165541,0.06257163,0.018184114,0.117325427
10.75,0.081790929,0.100722902,0.05427642,0.057420321,0.039272474,0.184605038,0.021873444,0.061526498,0.017675171,0.115029209
11,0.077906838,0.098595352,0.053014294,0.056352718,0.037334487,0.181860204,0.021288222,0.060366093,0.016599093,0.112944369
11.25,0.074027075,0.09646983,0.051504831,0.055283269,0.035309856,0.17903328,0.020689797,0.059204361,0.015523015,0.110891997
11.5,0.069620237,0.095003299,0.049989742,0.054166995,0.033293415,0.176275215,0.020091372,0.057818076,0.014305499,0.108355624
11.75,0.065526006,0.093666037,0.048474653,0.053038431,0.031029835,0.173560053,0.019492948,0.056011097,0.013087983,0.105823445
12,0.061588328,0.091893477,0.046726766,0.051983569,0.0287632,0.169797859,0.018899841,0.054214611,0.012370318,0.103388908
12.25,0.0581567,0.090475042,0.044233804,0.050583387,0.026496565,0.166033205,0.018306734,0.052408144,0.011652653,0.100422506
12.5,0.054240504,0.089196867,0.04231176,0.049317689,0.024424114,0.162503378,0.01796632,0.050821966,0.01094315,0.097853268
12.75,0.051023467,0.087133466,0.040334379,0.047917028,0.02234854,0.159601599,0.017659992,0.049836075,0.010233647,0.095099019
13,0.047766541,0.084824243,0.038271622,0.046208996,0.020618867,0.157002091,0.01764679,0.049076256,0.010091279,0.091732172
13.25,0.044249285,0.082324143,0.036454882,0.044476718,0.018884797,0.154406058,0.01764679,0.047927615,0.009948911,0.088365326
13.5,0.041134971,0.079345504,0.034152277,0.042783591,0.017556643,0.151700384,0.017573001,0.047012178,0.009931207,0.08581131
13.75,0.038273404,0.076213897,0.031815444,0.041102756,0.016227618,0.149102069,0.017444097,0.046501871,0.009881034,0.083257295
14,0.035421775,0.072773191,0.02904356,0.038640568,0.014974138,0.14752042,0.017293177,0.045979771,0.00983086,0.080019691
14.25,0.032785334,0.069333646,0.026757307,0.036533578,0.013569096,0.145938771,0.017114951,0.045467651,0.008862699,0.077298995
14.5,0.030151721,0.064835621,0.024283502,0.034160208,0.012249051,0.144245171,0.016936725,0.045031729,0.007895468,0.074608262
14.75,0.02780297,0.060841517,0.021802334,0.031620715,0.01109172,0.142455799,0.01675501,0.044420241,0.006922586,0.071873758
15,0.025131487,0.057389283,0.020003051,0.029180643,0.010538779,0.141258254,0.015835248,0.043817842,0.005935057,0.069974479
15.25,0.022386999,0.05407909,0.018201998,0.027066779,0.009971864,0.139593535,0.014908446,0.043605591,0.004947528,0.067754625
15.5,0.01989636,0.051252428,0.016881861,0.024616212,0.009404949,0.137438567,0.013961346,0.042708814,0.003976773,0.065524143
15.75,0.017406048,0.048578734,0.015595953,0.021757288,0.008837738,0.135208196,0.013046063,0.0418276,0.003038487,0.063249762
16,0.014786957,0.045681616,0.014837002,0.019948773,0.008273649,0.133067089,0.012152795,0.040592567,0.002080326,0.061246143
16.25,0.012076571,0.042730141,0.014171291,0.017639766,0.007832071,0.130925334,0.011286834,0.039329598,0.002039567,0.058971606
16.5,0.010435406,0.040409866,0.013693133,0.015530762,0.007494471,0.128899959,0.010389442,0.037294105,0.001998808,0.056661959
16.75,0.008832205,0.037926758,0.013277674,0.013702656,0.007147824,0.126571926,0.009062376,0.035271579,0.0019637,0.054244816
17,0.007883593,0.035202311,0.012878366,0.012064651,0.006788905,0.123539599,0.008473356,0.033028178,0.001811718,0.051209244
17.25,0.007276262,0.032526701,0.012156335,0.010456963,0.006568829,0.12004957,0.007888353,0.030356675,0.001659736,0.047904151
17.5,0.006385128,0.029593659,0.011403188,0.009197122,0.006492234,0.117306688,0.007347299,0.027860503,0.001507755,0.044567252
17.75,0.005493995,0.02624307,0.01064729,0.00832928,0.006417287,0.114429086,0.006823853,0.025364331,0.001355773,0.040738592
18,0.005100699,0.024017086,0.009855396,0.007473688,0.006342339,0.110895745,0.006300407,0.02323377,0.001223666,0.037437011
18.25,0.004816898,0.021837458,0.009235876,0.007112412,0.006267391,0.106805221,0.005776961,0.020723667,0.001092145,0.033938196
18.5,0.004265685,0.01965007,0.008304471,0.007028403,0.00620947,0.102714698,0.005284946,0.018995413,0.000960625,0.030597484
18.75,0.003714473,0.017947522,0.007373066,0.006943181,0.00615155,0.097321507,0.005174631,0.01742976,0.000829104,0.027611388
19,0.00316326,0.016695458,0.006446185,0.006809733,0.006093754,0.091909912,0.005064316,0.016084981,0.000829104,0.024866861
19.25,0.002612047,0.015088056,0.005845117,0.006070599,0.006035957,0.087476025,0.004957025,0.014902533,0.000829104,0.02232665
19.5,0.002344637,0.013849544,0.005285739,0.005334859,0.0059949,0.08306875,0.004892791,0.014123103,0.000829104,0.019739413
19.75,0.002077226,0.013017318,0.004729111,0.004612313,0.005960356,0.077912336,0.004834249,0.013333562,0.000829104,0.017687836
20,0.001809815,0.012184474,0.004417226,0.003890805,0.005727768,0.073156998,0.004772044,0.012533088,0.000829104,0.015604504
20.25,0.001542405,0.01135963,0.004105341,0.003180446,0.005508323,0.06852448,0.004705562,0.012134229,0.000829104,0.013674985
20.5,0.001542405,0.010969827,0.004105341,0.002480308,0.005288879,0.063356218,0.004611897,0.011211916,0.000829104,0.01210849
20.75,0.001542405,0.010266716,0.004105341,0.001739469,0.005077515,0.059415513,0.00448598,0.010289602,0.000829104,0.010541996
21,0.001542405,0.00958076,0.004105341,0.001068515,0.004645038,0.056277428,0.004360063,0.009349439,0.000829104,0.00929287
21.25,0.001542405,0.009250141,0.004101788,0.000999762,0.004212562,0.053138555,0.004216228,0.008675047,0.000829104,0.008149871
21.5,0.001449368,0.008882348,0.003684808,0.00093101,0.003780085,0.050299616,0.003946022,0.008106833,0.000759857,0.007330175
21.75,0.001356332,0.008525816,0.003267829,0.000865421,0.003347609,0.048419986,0.003603975,0.007548731,0.000690609,0.006435807
