Year,Age,SB.Age,Site,Plot,Duff,Litter,Fuelbed
1940,Old,1940Old,13-12A,1,0.0175,0.01125,0.11
1940,Old,1940Old,13-12A,2,0.03375,0.015,0.13375
1940,Old,1940Old,13-12A,3,0.03375,0.02375,0.1125
1940,Old,1940Old,13-60A,1,0.0225,0.015,0.005
1940,Old,1940Old,13-60A,2,0.04,0.01125,0.085
1940,Old,1940Old,13-60A,3,0.02,0.01625,0.11
1940,Old,1940Old,13-61A,1,0.025,0.015,0.07
1940,Old,1940Old,13-61A,2,0.03,0.0125,0.065
1940,Old,1940Old,13-61A,3,0.015,0.0125,0.18
1940,Old,1940Old,14-F03,1,0.0425,0.03375,0.27
1940,Old,1940Old,14-F03,2,0.05,0.11,0.1875
1940,Old,1940Old,14-F03,3,0.025,0.13625,0.045
1960,Old,1960Old,13-67A,1,0.08,0.0175,0.22
1960,Old,1960Old,13-67A,2,0.065,0.02,0.038
1960,Old,1960Old,13-67A,3,0.0725,0.04,0.1175
1960,Old,1960Old,13-61B,1,0.1175,0.0675,0.005
1960,Old,1960Old,13-61B,2,0.045,0.02,0
1960,Old,1960Old,13-61B,3,0.1,0.0225,0.16
1960,Old,1960Old,14-F04,1,0.03125,0.02,0.08375
1960,Old,1960Old,14-F04,2,0.06375,0.03625,0.09375
1960,Old,1960Old,14-F04,3,0.035,0.17375,0.1775
1960,Old,1960Old,14-F05,1,0.09125,0.02375,0.3775
1960,Old,1960Old,14-F05,2,0.025,0.0175,0.235
1960,Old,1960Old,14-F05,3,0.03875,0.02125,0.5075
1990,Old,1990Old,13-42A,1,0.0475,0.03,0.0195
1990,Old,1990Old,13-42A,2,0.0675,0.035,0.07
1990,Old,1990Old,13-42A,3,0.05,0.015,0.0285
1990,Old,1990Old,13-45A,1,0.0625,0.0275,0.0825
1990,Old,1990Old,13-45A,2,0.0375,0.02,0.065
1990,Old,1990Old,13-45A,3,0.085,0.02,0.07
1990,Old,1990Old,13-46A,1,0.0275,0.01,0.03
1990,Old,1990Old,13-46A,2,0.0425,0.0125,0.03125
1990,Old,1990Old,13-46A,3,0.0575,0.02,0.04375
2000,Old,2000Old,13-50C,1,0.045,0.0175,0.1425
2000,Old,2000Old,13-50C,2,0.0375,0.0175,0.316
2000,Old,2000Old,13-50C,3,0.02875,0.01125,0.055
2000,Old,2000Old,13-57A,1,0.075,0.02,0.04575
2000,Old,2000Old,13-57A,2,0.09,0.045,0.135
2000,Old,2000Old,13-57A,3,0.055,0.025,0.07075
2000,Old,2000Old,13-58A,1,0.03,0.025,0.09
2000,Old,2000Old,13-58A,2,0.007,0.00425,0.045
2000,Old,2000Old,13-58A,3,0.03,0.0175,0.05075
2000,Old,2000Old,13-49B,1,0.0425,0.0175,0.028
2000,Old,2000Old,13-49B,2,0.0875,0.03,0.065
2000,Old,2000Old,13-49B,3,0.0425,0.0175,0.04
2010,Old,2010Old,13-09C,1,0.0425,0.02,0.295
2010,Old,2010Old,13-09C,2,0.135,0.045,0.16125
2010,Old,2010Old,13-09C,3,0.06,0.0225,0.06
2010,Old,2010Old,13-100A,1,0.02125,0.02125,0.04
2010,Old,2010Old,13-100A,2,0.0925,0.04,0
2010,Old,2010Old,13-100A,3,0.0175,0.0125,0.15
2010,Old,2010Old,13-101A,1,0.0325,0.0225,0.2
2010,Old,2010Old,13-101A,2,0.0525,0.025,0.2125
2010,Old,2010Old,13-101A,3,0.05375,0.01375,0.09
2010,Old,2010Old,13-103A,1,0.28,0.045,0.087
2010,Old,2010Old,13-103A,2,0.155,0.04,0.0675
2010,Old,2010Old,13-103A,3,0.06,0.0275,0.038
Endemic,Old,EndemicOld,13-06B,1,0.0525,0.02,0.001
Endemic,Old,EndemicOld,13-06B,2,0.05375,0.01625,0.0475
Endemic,Old,EndemicOld,13-06B,3,0.0475,0.0225,0.065
Endemic,Old,EndemicOld,13-07F,1,0.0675,0.035,0.02825
Endemic,Old,EndemicOld,13-07F,2,0.035,0.0125,0.026
Endemic,Old,EndemicOld,13-07F,3,0.0575,0.0225,0.00475
Endemic,Old,EndemicOld,13-07B,1,0.0625,0.025,0.165
Endemic,Old,EndemicOld,13-07B,2,0.025,0.01,0.02275
Endemic,Old,EndemicOld,13-07B,3,0.0475,0.02,0.027
Endemic,Old,EndemicOld,13-107A,1,0.035,0.02,0.065
Endemic,Old,EndemicOld,13-107A,2,0.04,0.025,0.0175
Endemic,Old,EndemicOld,13-107A,3,0.01625,0.0225,0.017
1990,Young,1990Young,13-30C,1,0.065,0.02,0.10325
1990,Young,1990Young,13-30C,2,0.0675,0.0225,0.1055
1990,Young,1990Young,13-30C,3,0.04,0.0175,0.02675
1990,Young,1990Young,13-31C,1,0.0325,0.015,0.005
1990,Young,1990Young,13-31C,2,0.0475,0.015,0
1990,Young,1990Young,13-31C,3,0.095,0,0
2000,Young,2000Young,13-40C,1,0.0725,0.02,0.031
2000,Young,2000Young,13-40C,2,0.08,0.02,0
2000,Young,2000Young,13-40C,3,0.05,0.015,0.0635
2000,Young,2000Young,13-48C,1,0.0175,0.00875,0
2000,Young,2000Young,13-48C,2,0.045,0.00625,0
2000,Young,2000Young,13-48C,3,0.03,0.015,0.06
2010,Young,2010Young,14-F01,1,0.04375,0.015,0.2
2010,Young,2010Young,14-F01,2,0.04,0.06125,0.25125
2010,Young,2010Young,14-F01,3,0.0925,0.0425,0.19
Endemic,Young,EndemicYoung,13-3A,1,0.065,0.02,0.1925
Endemic,Young,EndemicYoung,13-3A,2,0.04,0.015,0.145
Endemic,Young,EndemicYoung,13-3A,3,0.06,0.01,0.05325
Endemic,Young,EndemicYoung,13-5A,1,0.0425,0.015,0.02875
Endemic,Young,EndemicYoung,13-5A,2,0.0275,0.01275,0.0025
Endemic,Young,EndemicYoung,13-5A,3,0.0325,0.01875,0.03375
Endemic,Young,EndemicYoung,13-20A,1,0.0275,0.0125,0.11
