year,age,site,plot,plot_size,spp,status,sf,lifol,defol,li1hr,de1hr,li10hr,de10hr,li100hr,de100hr,cbh,lcw,dcw,acfl,cbd,ba_li,ba_gr,ba_ye,ba_nd,ba_tw,ba_br,ba_sn,ba_de
1940,Young,na,1,100,na,na,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,Young,na,1,100,na,na,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,Old,13-12A,1,100,PIEN,Br,S,0,0,0,0.009613181,0,0.108242633,0,0.002977604,0.4,0,0.012083368,0.000480659,3.14E-05,0,0,0,0,0,5.726295,0,0
1940,Old,13-12A,1,100,PIEN,Br,F,0,0,0,0.010964684,0,0.125313909,0,0.004162864,0.5,0,0.014044177,0.000548234,4.89E-05,0,0,0,0,0,6.0706582,0,0
1940,Old,13-12A,1,100,PIEN,Li,S,3.434649438,0,1.897761784,0,2.133095086,0,1.251459982,0,2.75,0.871696629,0.033517248,0.533241122,0.051027859,7.0695,0,0,0,0,0,0,0
1940,Old,13-12A,1,100,PIEN,De,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0794742
1940,Old,13-12A,1,100,PIEN,De,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.606055
1940,Old,13-12A,1,100,PIEN,De,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.909375
1940,Old,13-12A,1,100,PIEN,De,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63097375
1940,Old,13-12A,2,100,PIEN,Br,S,0,0,0,0.231813871,0,0.015198011,0,0.015198011,0,0,0.023181438,0.011590694,0.000694054,0,0,0,0,0,8.9738662,0,0
1940,Old,13-12A,2,100,PIEN,Li,S,0.533237685,0,0.264556811,0,0.217408261,0,0.01446573,0,0,0.102966849,0.000260298,0.07977945,0.012368907,0.5809558,0,0,0,0,0,0,0
