year,age,site,plot,duff,litter,fuelbed,flduff,fllitter,flfuelbed
1940,Old,13-12A,1,0.0175,0.01125,0.11,0.319643834,5.792651307,39.87608442
1940,Old,13-12A,2,0.03375,0.015,0.13375,2.15033125,9.413058374,22.78633395
1940,Old,13-12A,3,0.03375,0.02375,0.1125,0.290585304,7.240814134,0
1940,Old,13-60A,1,0.0225,0.015,0.005,0.259000882,1.434176103,39.49095109
1940,Old,13-60A,2,0.04,0.01125,0.085,0.287778758,3.585440258,28.20782221
1940,Old,13-60A,3,0.02,0.01625,0.11,0.431668136,2.868352207,33.84938665
1940,Old,13-61A,1,0.025,0.015,0.07,0.230510605,3.589919261,33.89167197
1940,Old,13-61A,2,0.03,0.0125,0.065,0.489835036,7.897822374,0
1940,Old,13-61A,3,0.015,0.0125,0.18,1.1237392,7.179838522,16.94583599
1940,Old,14-F03,1,0.0425,0.03375,0.27,1.822048654,4.323987437,28.34851047
1940,Old,14-F03,2,0.05,0.11,0.1875,1.012249252,8.647974874,34.01821257
1940,Old,14-F03,3,0.025,0.13625,0.045,0,1.441329146,17.00910628
1960,Old,13-67A,1,0.08,0.0175,0.22,4.923230714,21.52232006,50.79692317
1960,Old,13-67A,2,0.065,0.02,0.038,1.69865855,2.869642675,11.28820515
1960,Old,13-67A,3,0.0725,0.04,0.1175,1.238005384,3.587053344,16.93230772
1960,Old,13-61B,1,0.1175,0.0675,0.005,1.295004409,6.453792465,39.49095109
1960,Old,13-61B,2,0.045,0.02,0,0.518001764,3.585440258,0
1960,Old,13-61B,3,0.1,0.0225,0.16,0.431668136,5.019616362,5.641564442
1960,Old,14-F04,1,0.03125,0.02,0.08375,3.557333086,2.161993719,45.35761676
1960,Old,14-F04,2,0.06375,0.03625,0.09375,1.677441618,5.765316583,34.01821257
1960,Old,14-F04,3,0.035,0.17375,0.1775,1.388227546,5.765316583,0
1960,Old,14-F05,1,0.09125,0.02375,0.3775,0.547462687,4.307903113,11.29722399
1960,Old,14-F05,2,0.025,0.0175,0.235,0.576276513,3.589919261,16.94583599
1960,Old,14-F05,3,0.03875,0.02125,0.5075,0.720345641,2.153951557,50.83750796
1990,Old,13-42A,1,0.0475,0.03,0.0195,1.52553243,7.172314549,22.57077057
1990,Old,13-42A,2,0.0675,0.035,0.07,0.518105354,5.737851639,0
1990,Old,13-42A,3,0.05,0.015,0.0285,4.461462767,20.79971219,62.06961906
1990,Old,13-45A,1,0.0625,0.0275,0.0825,0.978897327,2.95662978,5.815191522
1990,Old,13-45A,2,0.0375,0.02,0.065,2.402747984,16.26146379,5.815191522
1990,Old,13-45A,3,0.085,0.02,0.07,1.038224438,4.43494467,0
1990,Old,13-46A,1,0.0275,0.01,0.03,1.266796207,9.326338693,16.93230772
1990,Old,13-46A,2,0.0425,0.0125,0.03125,1.641076905,12.91339204,45.1528206
1990,Old,13-46A,3,0.0575,0.02,0.04375,2.677546529,7.891517356,50.79692317
2000,Old,13-50C,1,0.045,0.0175,0.1425,1.844084841,7.897822374,5.648611995
2000,Old,13-50C,2,0.0375,0.0175,0.316,4.23563237,26.56540253,33.89167197
2000,Old,13-50C,3,0.02875,0.01125,0.055,2.016967795,3.589919261,5.648611995
2000,Old,13-57A,1,0.075,0.02,0.04575,1.352830646,9.324008914,28.21346321
2000,Old,13-57A,2,0.09,0.045,0.135,0,2.86892582,5.642692642
2000,Old,13-57A,3,0.055,0.025,0.07075,0.719590769,5.020620185,16.92807792
2000,Old,13-58A,1,0.03,0.025,0.09,0.692359089,6.469584934,16.96610815
2000,Old,13-58A,2,0.007,0.00425,0.045,2.163622155,5.031899393,5.655369384
2000,Old,13-58A,3,0.03,0.0175,0.05075,0.288482954,2.156528311,5.655369384
2000,Old,13-49B,1,0.0425,0.0175,0.028,0.921306332,4.304464012,5.644102575
2000,Old,13-49B,2,0.0875,0.03,0.065,0.489443989,2.869642675,0
