Year,Age,Site,Plot,Line,BulkDensity,Veg_Type,Veg.Cat,
2010,Old,13-09C,1,1,0.04392,LS,Shrub,
2010,Old,13-09C,1,1,0,DS,Shrub,
2010,Old,13-09C,1,1,0.0384,LH,Grass/Herb,
2010,Old,13-09C,1,1,0,DH,Grass/Herb,
2010,Old,13-09C,1,1,0,LG,Grass/Herb,
2010,Old,13-09C,1,1,0,DG,Grass/Herb,
2010,Old,13-09C,1,1,0,Li,Litter,
2010,Old,13-09C,1,2,0.09882,LS,Shrub,
2010,Old,13-09C,1,2,0,DS,Shrub,
2010,Old,13-09C,1,2,0.0192,LH,Grass/Herb,
2010,Old,13-09C,1,2,0,DH,Grass/Herb,
2010,Old,13-09C,1,2,0,LG,Grass/Herb,
2010,Old,13-09C,1,2,0,DG,Grass/Herb,
2010,Old,13-09C,1,2,0,Li,Litter,
2010,Old,13-09C,2,1,0.01098,LS,Shrub,
2010,Old,13-09C,2,1,0,DS,Shrub,
2010,Old,13-09C,2,1,0.0656,LH,Grass/Herb,
2010,Old,13-09C,2,1,0,DH,Grass/Herb,
2010,Old,13-09C,2,1,0,LG,Grass/Herb,
2010,Old,13-09C,2,1,0,DG,Grass/Herb,
2010,Old,13-09C,2,1,0,Li,Litter,
2010,Old,13-09C,2,2,0.04392,LS,Shrub,
2010,Old,13-09C,2,2,0,DS,Shrub,
2010,Old,13-09C,2,2,0.0432,LH,Grass/Herb,
2010,Old,13-09C,2,2,0.0192,DH,Grass/Herb,
2010,Old,13-09C,2,2,0,LG,Grass/Herb,
2010,Old,13-09C,2,2,0,DG,Grass/Herb,
2010,Old,13-09C,2,2,0,Li,Litter,
2010,Old,13-09C,3,1,0.03294,LS,Shrub,
2010,Old,13-09C,3,1,0.01098,DS,Shrub,
2010,Old,13-09C,3,1,0.024,LH,Grass/Herb,
2010,Old,13-09C,3,1,0.0144,DH,Grass/Herb,
2010,Old,13-09C,3,1,0,LG,Grass/Herb,
2010,Old,13-09C,3,1,0,DG,Grass/Herb,
2010,Old,13-09C,3,1,0,Li,Litter,
2010,Old,13-09C,3,2,0.04392,LS,Shrub,
2010,Old,13-09C,3,2,0,DS,Shrub,
2010,Old,13-09C,3,2,0.0288,LH,Grass/Herb,
2010,Old,13-09C,3,2,0.0288,DH,Grass/Herb,
2010,Old,13-09C,3,2,0,LG,Grass/Herb,
2010,Old,13-09C,3,2,0,DG,Grass/Herb,
2010,Old,13-09C,3,2,0,Li,Litter,
2010,Old,13-100A,1,1,0.352275,LS,Shrub,
2010,Old,13-100A,1,1,0.02196,DS,Shrub,
2010,Old,13-100A,1,1,0.0048,LH,Grass/Herb,
2010,Old,13-100A,1,1,0,DH,Grass/Herb,
2010,Old,13-100A,1,1,0.0144,LG,Grass/Herb,
2010,Old,13-100A,1,1,0.0096,DG,Grass/Herb,
2010,Old,13-100A,1,1,0,Li,Litter,
2010,Old,13-100A,1,2,0.333975,LS,Shrub,
2010,Old,13-100A,1,2,0.04392,DS,Shrub,
2010,Old,13-100A,1,2,0,LH,Grass/Herb,
2010,Old,13-100A,1,2,0,DH,Grass/Herb,
2010,Old,13-100A,1,2,0.0144,LG,Grass/Herb,
2010,Old,13-100A,1,2,0.0096,DG,Grass/Herb,
2010,Old,13-100A,1,2,0,Li,Litter,
2010,Old,13-100A,2,1,0.107055,LS,Shrub,
2010,Old,13-100A,2,1,0,DS,Shrub,
2010,Old,13-100A,2,1,0.0096,LH,Grass/Herb,
2010,Old,13-100A,2,1,0,DH,Grass/Herb,
2010,Old,13-100A,2,1,0.0144,LG,Grass/Herb,
2010,Old,13-100A,2,1,0.0048,DG,Grass/Herb,
2010,Old,13-100A,2,1,0,Li,Litter,
2010,Old,13-100A,2,2,0.07503,LS,Shrub,
2010,Old,13-100A,2,2,0.01098,DS,Shrub,
2010,Old,13-100A,2,2,0.0192,LH,Grass/Herb,
2010,Old,13-100A,2,2,0,DH,Grass/Herb,
2010,Old,13-100A,2,2,0.0288,LG,Grass/Herb,
2010,Old,13-100A,2,2,0.0192,DG,Grass/Herb,
2010,Old,13-100A,2,2,0,Li,Litter,
2010,Old,13-100A,3,1,0.35685,LS,Shrub,
2010,Old,13-100A,3,1,0,DS,Shrub,
2010,Old,13-100A,3,1,0,LH,Grass/Herb,
