year,age,site,plot,subplot,spp,foliage,f1hr,f10hr,f100hr,f1000hr,height
1940,Old,13-12A,1,1,,0,0,0,0,0,0
1940,Old,13-12A,1,2,,0,0,0,0,0,0
1940,Old,13-12A,1,3,ABLA,0.530934827,0.212373931,0.225647302,0.345107638,0.013273371,153
1940,Old,13-12A,1,4,,0,0,0,0,0,0
1940,Old,13-12A,1,5,ABLA,0.614277916,0.245711166,0.261068114,0.399280645,0.015356948,163
1940,Old,13-12A,1,5,ABLA,2.315258239,0.926103295,0.983984751,1.504917855,0.057881456,290
1940,Old,13-12A,1,5,PIEN,0.432240842,0.177981523,0.194932144,0.042376553,0,137
1940,Old,13-12A,1,6,ABLA,0.636876186,0.262243135,0.287218672,0.062438842,0,149
1940,Old,13-12A,1,6,ABLA,0.713972966,0.285589186,0.303438511,0.464082428,0.017849324,174
1940,Old,13-12A,1,6,ABLA,0.617360524,0.254207275,0.278417491,0.060525542,0,147
1940,Old,13-12A,2,1,ABLA,0.82223004,0.328892016,0.349447767,0.534449526,0.020555751,185
1940,Old,13-12A,2,2,ABLA,1.440499766,0.576199906,0.6122124,0.936324848,0.036012494,236
1940,Old,13-12A,2,3,ABLA,0.560865402,0.230944577,0.252939299,0.054986804,0,141
1940,Old,13-12A,2,4,ABLA,0.636876186,0.262243135,0.287218672,0.062438842,0,149
1940,Old,13-12A,2,5,ABLA,1.303792818,0.521517127,0.554111948,0.847465332,0.03259482,226
1940,Old,13-12A,2,6,ABLA,0.939209726,0.375683891,0.399164134,0.610486322,0.023480243,196
1940,Old,13-12A,2,6,ABLA,1.31711713,0.526846852,0.55977478,0.856126135,0.032927928,227
1940,Old,13-12A,2,6,ABLA,0.579356559,0.238558583,0.261278448,0.056799663,0,143
1940,Old,13-12A,3,1,ABLA,2.22718749,0.80988636,1.21482954,1.95722537,0.53992424,310
1940,Old,13-12A,3,2,ABLA,0.928210676,0.37128427,0.394489537,0.603336939,0.023205267,195
1940,Old,13-12A,3,2,ABLA,0.771950457,0.308780183,0.328078944,0.501767797,0.019298761,180
1940,Old,13-12A,3,2,ABLA,0.723458253,0.289383301,0.307469757,0.470247864,0.018086456,175
1940,Old,13-12A,3,3,ABLA,2.22718749,0.80988636,1.21482954,1.95722537,0.53992424,310
1940,Old,13-12A,3,3,ABLA,0.631774907,0.252709963,0.268504336,0.41065369,0.015794373,165
1940,Old,13-12A,3,3,ABLA,2.224357362,0.889742945,0.945351879,1.445832286,0.055608934,285
1940,Old,13-12A,3,3,ABLA,0.538960664,0.215584266,0.229058282,0.350324431,0.013474017,154
1940,Old,13-12A,3,3,ABLA,0.82223004,0.328892016,0.349447767,0.534449526,0.020555751,185
1940,Old,13-12A,3,4,ABLA,0.570068562,0.234734114,0.257089743,0.055889075,0,142
1940,Old,13-12A,3,4,ABLA,0.685941204,0.274376482,0.291525012,0.445861783,0.01714853,171
1940,Old,13-12A,3,5,,0,0,0,0,0,0
1940,Old,13-12A,3,6,ABLA,0.874311905,0.349724762,0.37158256,0.568302738,0.021857798,190
