Year,Age,Site,Plot,n1,n10,n100,dsq100,fl1,fl10,fl100,nS1000,dsqS1000,flS1000,nR1000,dsqR1000,flR1000
1940,Old,13-12A,1,11,8,7,20.09,0.319643834,5.792651307,39.87608442,170,460.863,80.95169918,208,471.2058,62.07632774
1940,Old,13-12A,2,74,13,4,11.48,2.15033125,9.413058374,22.78633395,272,1440.192312,252.9732584,171.4,568.178676,74.85146767
1940,Old,13-12A,3,10,10,0,0,0.290585304,7.240814134,0,119,415.3851,72.96339619,252.5,746.240625,98.30922626
1940,Old,13-60A,1,9,2,7,20.09,0.259000882,1.434176103,39.49095109,212,800.3502,139.2256554,431,3298.2885,430.3176078
1940,Old,13-60A,2,10,5,5,14.35,0.287778758,3.585440258,28.20782221,82,358.6518,62.38960383,198,1116.414,145.6551184
1940,Old,13-60A,3,15,4,6,17.22,0.431668136,2.868352207,33.84938665,12,21.9024,3.810052142,389.5,1659.144825,216.4635483
1940,Old,13-61A,1,8,5,6,17.22,0.230510605,3.589919261,33.89167197,72,263.7414,45.9366913,244,936.6318,122.3521389
1940,Old,13-61A,2,17,11,0,0,0.489835036,7.897822374,0,225,1301.8239,226.7428725,308,1143.1836,149.3339844
1940,Old,13-61A,3,39,10,3,8.61,1.1237392,7.179838522,16.94583599,128,606.879,105.7020751,199,1222.7319,159.7253726
1940,Old,14-F03,1,63,6,5,14.35,1.822048654,4.323987437,28.34851047,153.2,726.204492,126.9576371,96.7,625.099059,81.96152086
1940,Old,14-F03,2,35,12,6,17.22,1.012249252,8.647974874,34.01821257,169,440.886186,77.07728199,237,1460.579796,191.5077934
1940,Old,14-F03,3,0,2,3,8.61,0,1.441329146,17.00910628,33,467.8596,81.7928696,510,2279.0664,298.825835
1960,Old,13-67A,1,171,30,9,25.83,4.923230714,21.52232006,50.79692317,18,751.8303,130.8441717,48,530.0685,69.18752857
1960,Old,13-67A,2,59,4,2,5.74,1.69865855,2.869642675,11.28820515,36,301.3101,52.43825695,24,696.9222,90.96621404
1960,Old,13-67A,3,43,5,3,8.61,1.238005384,3.587053344,16.93230772,21,132.327,23.02942128,43,1257.1065,164.0846266
1960,Old,13-61B,1,45,9,7,20.09,1.295004409,6.453792465,39.49095109,50,347.130225,60.38535765,10,119.5506,15.59740096
1960,Old,13-61B,2,18,5,0,0,0.518001764,3.585440258,0,18,261.041625,45.40973604,6,514.2501,67.09263694
1960,Old,13-61B,3,15,7,1,2.87,0.431668136,5.019616362,5.641564442,35,234.8424,40.85222575,22,163.241325,21.29759615
1960,Old,14-F04,1,123,3,8,22.96,3.557333086,2.161993719,45.35761676,14,142.683489,24.94443207,32,427.17285,56.00990108
1960,Old,14-F04,2,58,8,6,17.22,1.677441618,5.765316583,34.01821257,45,522.287064,91.30807131,19,662.737725,86.89661437
1960,Old,14-F04,3,48,8,0,0,1.388227546,5.765316583,0,41,691.699086,120.92528,50,739.514763,96.96343932
1960,Old,14-F05,1,19,6,2,5.74,0.547462687,4.307903113,11.29722399,7,347.434425,60.51377573,29,636.61455,83.16090893
1960,Old,14-F05,2,20,5,3,8.61,0.576276513,3.589919261,16.94583599,5,168.0705,29.27338171,41,978.511014,127.8228173
1960,Old,14-F05,3,25,3,9,25.83,0.720345641,2.153951557,50.83750796,40,742.78035,129.3724521,36,339.829425,44.39189124
1990,Old,13-42A,1,53,10,4,11.48,1.52553243,7.172314549,22.57077057,3,37.1124,6.457212741,3,49.4325,6.450596744
1990,Old,13-42A,2,18,8,0,0,0.518105354,5.737851639,0,32,834.4206,145.1814307,7,1079.4537,140.8611849
1990,Old,13-42A,3,155,29,11,31.57,4.461462767,20.79971219,62.06961906,15,332.7948,57.90320277,3,21.9024,2.858110557
1990,Old,13-45A,1,33,4,1,2.87,0.978897327,2.95662978,5.815191522,28,275.6052,49.41867418,15,166.891725,22.44397361
1990,Old,13-45A,2,81,22,1,2.87,2.402747984,16.26146379,5.815191522,69,356.3703,63.90063665,25,449.3034,60.42332927
1990,Old,13-45A,3,35,6,0,0,1.038224438,4.43494467,0,25,216.8946,38.89129657,0,0,0
1990,Old,13-46A,1,44,13,3,8.61,1.266796207,9.326338693,16.93230772,82,889.0245,154.7206521,18,303.477525,39.61159724
